application_id: 1	name: MCS_distance_20.0_sigmaloc1_10.0_sigmaloc2_10.0_sigmasigmaloc1_2.0_sigmasigmaloc2_2.0_frames_10_numberofspots_1000_sample-heterogeneity_0_repeat_1.txt	filepath: /Volumes/blank	nr_pixels_x: 512	nr_pixels_y: 512	pixel_size: 159.0	nr_spots: 1046	box_size: 12	nr_channels: 2	nr_frames: 10	nr_slices: 1	nr_pos: 400	location_units: NM	intensity_units: PHOTONS	fit_mode: 1	is_track: false	has_Z: false
molecule	frame	slice	channel	pos	x_position	y_position	x(nm)	y(nm)	intensity	background	width	a	theta	sigma	int_ratio	alt_sigma	intensity_aperture	background_aperture
154	4	1	2	8	1	1	12518.4881189	12500.356062	1	1	1	1	1	7.73841803512	1	1	1	1
155	5	1	2	8	1	1	12495.4813678	12513.9778563	1	1	1	1	1	13.8997197701	1	1	1	1
156	6	1	2	8	1	1	12534.3127141	12483.4695396	1	1	1	1	1	8.62570581668	1	1	1	1
157	7	1	2	8	1	1	12519.1127786	12499.2713645	1	1	1	1	1	14.5956348588	1	1	1	1
158	8	1	2	8	1	1	12504.5489909	12492.1570502	1	1	1	1	1	13.3635056626	1	1	1	1
159	9	1	2	8	1	1	12543.5331777	12498.8195162	1	1	1	1	1	9.65744558881	1	1	1	1
160	10	1	2	8	1	1	12520.0796179	12502.7593223	1	1	1	1	1	11.4506329438	1	1	1	1
161	1	1	1	9	1	1	12527.036876	12484.1504885	1	1	1	1	1	11.3312649843	1	1	1	1
162	2	1	1	9	1	1	12506.2443821	12487.2672429	1	1	1	1	1	12.0587866595	1	1	1	1
163	3	1	1	9	1	1	12501.8035864	12496.1881592	1	1	1	1	1	8.31492236264	1	1	1	1
164	4	1	1	9	1	1	12504.8569269	12492.441472	1	1	1	1	1	8.43070560741	1	1	1	1
165	5	1	1	9	1	1	12503.0917593	12500.9742777	1	1	1	1	1	10.4440928094	1	1	1	1
166	6	1	1	9	1	1	12501.9641028	12507.897051	1	1	1	1	1	8.3382702754	1	1	1	1
167	7	1	1	9	1	1	12500.984669	12500.925477	1	1	1	1	1	12.3115171327	1	1	1	1
168	8	1	1	9	1	1	12502.7074551	12500.7397233	1	1	1	1	1	10.5756733566	1	1	1	1
169	9	1	1	9	1	1	12502.131316	12487.2805274	1	1	1	1	1	11.2851023974	1	1	1	1
170	10	1	1	9	1	1	12471.8532507	12488.8828548	1	1	1	1	1	10.1561518889	1	1	1	1
171	1	1	2	9	1	1	12517.7804586	12519.6016792	1	1	1	1	1	13.5016355033	1	1	1	1
172	2	1	2	9	1	1	12514.6504786	12485.6465052	1	1	1	1	1	12.741911941	1	1	1	1
173	3	1	2	9	1	1	12503.6222972	12503.1401721	1	1	1	1	1	12.1527433119	1	1	1	1
174	4	1	2	9	1	1	12507.4717613	12510.8084766	1	1	1	1	1	9.36620774792	1	1	1	1
175	5	1	2	9	1	1	12523.1957135	12520.5857942	1	1	1	1	1	11.2535578488	1	1	1	1
176	6	1	2	9	1	1	12514.820986	12495.180577	1	1	1	1	1	10.3519063278	1	1	1	1
177	7	1	2	9	1	1	12510.8442354	12522.7939253	1	1	1	1	1	11.7592061628	1	1	1	1
178	8	1	2	9	1	1	12531.4816082	12505.2638863	1	1	1	1	1	10.7384027596	1	1	1	1
179	9	1	2	9	1	1	12517.0692699	12509.7690968	1	1	1	1	1	8.75193536228	1	1	1	1
180	10	1	2	9	1	1	12518.5747523	12506.9456918	1	1	1	1	1	8.78762416231	1	1	1	1
181	1	1	1	10	1	1	12519.6958926	12484.4693115	1	1	1	1	1	11.1535866766	1	1	1	1
182	2	1	1	10	1	1	12490.092755	12512.1299932	1	1	1	1	1	7.24342448436	1	1	1	1
183	3	1	1	10	1	1	12509.4602054	12497.3112608	1	1	1	1	1	11.3198530093	1	1	1	1
184	4	1	1	10	1	1	12501.6877868	12497.0850984	1	1	1	1	1	8.81621762466	1	1	1	1
185	5	1	1	10	1	1	12511.0998606	12529.4215377	1	1	1	1	1	10.3113197146	1	1	1	1
186	6	1	1	10	1	1	12494.9805284	12504.8540677	1	1	1	1	1	7.52665000927	1	1	1	1
187	7	1	1	10	1	1	12503.2961503	12494.5257329	1	1	1	1	1	7.64102208526	1	1	1	1
188	8	1	1	10	1	1	12511.2267148	12490.0746196	1	1	1	1	1	8.76372806951	1	1	1	1
189	9	1	1	10	1	1	12510.7219247	12509.0407538	1	1	1	1	1	7.35478078545	1	1	1	1
190	10	1	1	10	1	1	12496.3607593	12496.3738483	1	1	1	1	1	8.74058551599	1	1	1	1
191	1	1	2	10	1	1	12526.7437043	12469.7973357	1	1	1	1	1	11.1808436968	1	1	1	1
192	2	1	2	10	1	1	12486.3857136	12470.9707714	1	1	1	1	1	11.8910195713	1	1	1	1
193	3	1	2	10	1	1	12515.0304306	12494.2039911	1	1	1	1	1	9.58574365571	1	1	1	1
194	4	1	2	10	1	1	12520.0533934	12497.7034074	1	1	1	1	1	9.21879595974	1	1	1	1
195	5	1	2	10	1	1	12526.9821878	12504.4389445	1	1	1	1	1	8.5493867556	1	1	1	1
196	6	1	2	10	1	1	12519.0121831	12501.0418345	1	1	1	1	1	9.70676124476	1	1	1	1
197	7	1	2	10	1	1	12506.0357602	12497.2006548	1	1	1	1	1	7.09545385646	1	1	1	1
198	8	1	2	10	1	1	12493.6801502	12523.8703125	1	1	1	1	1	11.6461251993	1	1	1	1
199	9	1	2	10	1	1	12530.6667856	12497.8730606	1	1	1	1	1	13.2453516432	1	1	1	1
200	10	1	2	10	1	1	12524.2611678	12503.319179	1	1	1	1	1	8.12580372858	1	1	1	1
201	1	1	1	11	1	1	12492.9009294	12514.7807038	1	1	1	1	1	12.8706211576	1	1	1	1
202	2	1	1	11	1	1	12493.3219795	12499.1112039	1	1	1	1	1	10.0708016869	1	1	1	1
203	3	1	1	11	1	1	12495.279785	12512.4209056	1	1	1	1	1	9.2224281356	1	1	1	1
204	4	1	1	11	1	1	12491.685819	12522.4444742	1	1	1	1	1	10.268408839	1	1	1	1
205	5	1	1	11	1	1	12492.5493255	12497.5385515	1	1	1	1	1	9.62397074348	1	1	1	1
206	6	1	1	11	1	1	12491.963523	12499.7478602	1	1	1	1	1	11.065062347	1	1	1	1
207	7	1	1	11	1	1	12497.8621556	12478.1839896	1	1	1	1	1	11.8163740226	1	1	1	1
208	8	1	1	11	1	1	12495.5448745	12511.6976509	1	1	1	1	1	8.60243103431	1	1	1	1
209	9	1	1	11	1	1	12500.2905967	12507.6205246	1	1	1	1	1	10.5485188195	1	1	1	1
210	10	1	1	11	1	1	12496.9841225	12504.5847028	1	1	1	1	1	10.3746990521	1	1	1	1
211	1	1	2	11	1	1	12509.2781918	12515.1525438	1	1	1	1	1	10.5280243496	1	1	1	1
212	2	1	2	11	1	1	12515.0490249	12499.4403732	1	1	1	1	1	9.89574743699	1	1	1	1
213	3	1	2	11	1	1	12518.1226601	12494.1707057	1	1	1	1	1	7.71782996748	1	1	1	1
214	4	1	2	11	1	1	12524.2843968	12510.014773	1	1	1	1	1	7.34378871359	1	1	1	1
215	5	1	2	11	1	1	12523.1081158	12501.8303457	1	1	1	1	1	6.02495846688	1	1	1	1
216	6	1	2	11	1	1	12522.0884319	12495.3806399	1	1	1	1	1	8.2926954454	1	1	1	1
217	7	1	2	11	1	1	12498.942961	12494.4046589	1	1	1	1	1	9.64209358789	1	1	1	1
218	8	1	2	11	1	1	12512.4111349	12492.6828339	1	1	1	1	1	8.97594612264	1	1	1	1
219	9	1	2	11	1	1	12521.6134493	12491.169861	1	1	1	1	1	14.3264525489	1	1	1	1
220	10	1	2	11	1	1	12534.7321129	12504.909341	1	1	1	1	1	13.1388597372	1	1	1	1
221	1	1	1	12	1	1	12513.3351501	12484.0019125	1	1	1	1	1	11.8304864338	1	1	1	1
222	2	1	1	12	1	1	12484.7176405	12481.4929652	1	1	1	1	1	9.58146936286	1	1	1	1
223	3	1	1	12	1	1	12505.0891941	12525.1317488	1	1	1	1	1	12.5661675963	1	1	1	1
224	4	1	1	12	1	1	12491.7908466	12481.6848837	1	1	1	1	1	11.0177503497	1	1	1	1
225	5	1	1	12	1	1	12508.2922394	12498.5172876	1	1	1	1	1	9.91382146649	1	1	1	1
226	6	1	1	12	1	1	12488.6453593	12497.5210483	1	1	1	1	1	9.37029787349	1	1	1	1
227	7	1	1	12	1	1	12493.1502043	12504.3457868	1	1	1	1	1	9.31257398974	1	1	1	1
228	8	1	1	12	1	1	12515.8393579	12499.1725089	1	1	1	1	1	12.901739056	1	1	1	1
229	9	1	1	12	1	1	12515.3682198	12505.9565374	1	1	1	1	1	8.81470816	1	1	1	1
230	10	1	1	12	1	1	12523.8579032	12510.0016161	1	1	1	1	1	10.2114829055	1	1	1	1
231	1	1	2	12	1	1	12538.8559172	12489.8348798	1	1	1	1	1	10.3955044891	1	1	1	1
232	2	1	2	12	1	1	12501.1873218	12506.1927541	1	1	1	1	1	10.6513704667	1	1	1	1
233	3	1	2	12	1	1	12510.9930356	12484.0402521	1	1	1	1	1	7.65541271672	1	1	1	1
